platform	score	source
tiger-lcd-handhelds	3	Logo Builders/Builders/Tiger LCD handhelds/Tiger_Electronics_logo.svg
game-by-yuravector-with-space	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Game by yuravector (with space)/Indie Games.svg
crvision	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/crvision/logo.svg
inc	3	Logo Builders/z.old/emulation station logos/es-theme-art-book-master/tg-td/_inc/art.svg
segacd	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/segacd/logo.svg
computers	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Computers/Sharp MZ-800-05.svg
mastersystem	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mastersystem/logo.svg
channelf	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/channelf/logo.svg
wonderswan	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/wonderswan/logo.svg
atari-5200	3	Logo Builders/z.old/emulation station logos/es-theme-tronkyfran-master/atari5200/art/atari_5200_wire.svg
intellivision	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/intellivision/logo.svg
apple2	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/apple2/logo.svg
phillips-cd-i	3	Logo Builders/Builders/Phillips CD-i/PHILIPS official.svg
vectrex	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/vectrex/logo.svg
trs-80	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/trs-80/logo.svg
sony-pocket-station	3	Logo Builders/References/Sony Pocket Station/PocketStation_logo.svg
tic80	3	Logo Builders/Builders/TIC80/tic-computer (not used).svg
mess	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mess/logo.svg
shiny-blue-gotham-ultra-italic	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Shiny Blue (Gotham Ultra Italic)/Indie Games.svg
windows-11	3	Logo Builders/References/Windows/Windows 11/Windows_11_logo (From Cillbill on Wikimedia Commons).svg
nec-pc-8801-9801-nec-oabw-test	3	Logo Builders/Builders/NEC PC 9801+8801/NEC PC 8801 9801/nec-oabw.svg
nec-pc-8801-9801	3	Logo Builders/Builders/NEC PC 9801+8801/NEC PC 8801 9801/NEC_logo.svg
nintendo-gameboy-super-gb	3	Logo Builders/Builders/Nintendo Gameboy + Super GB/Gameboy-pocket-logo.svg
wonderswancolor	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/wonderswancolor/logo.svg
mame-libretro	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mame-libretro/logo.svg
psp	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/psp/logo.svg
shiny-red-gotham-ultra-italic	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Shiny Red (Gotham Ultra Italic)/Indie Games.svg
master-system	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Sega Master System (MS II Style) - 37.svg
